GEOID,year,pct_high_bp,pct_current_smoking,pct_depression,pct_poor_mental_health_days,pct_sleep_deprivation
01003,2022,,,,,36.4
01003,2023,37.0,13.3,23.9,16.8,
01009,2022,,,,,37.6
01009,2023,36.0,16.9,26.0,18.9,
01015,2022,,,,,42.8
01015,2023,41.5,17.0,25.3,19.3,
01019,2022,,,,,37.4
01019,2023,37.5,18.1,27.1,19.8,
01021,2022,,,,,34.1
01021,2023,39.0,17.1,25.3,19.3,
01027,2022,,,,,40.8
01027,2023,40.6,18.7,26.0,20.0,
01029,2022,,,,,38.4
01029,2023,37.0,18.0,26.9,19.7,
01037,2022,,,,,41.9
01037,2023,40.7,18.3,24.3,19.5,
01051,2022,,,,,42.2
01051,2023,38.2,15.1,23.6,18.4,
01079,2022,,,,,39.9
01079,2023,38.7,18.8,26.1,19.8,
01087,2022,,,,,44.7
01087,2023,48.4,17.9,21.6,19.7,
01095,2022,,,,,40.3
01095,2023,37.5,16.8,26.2,18.8,
01097,2022,,,,,41.5
01097,2023,39.6,15.7,22.7,18.1,
01107,2022,,,,,42.2
01107,2023,43.6,19.0,23.1,19.5,
01119,2022,,,,,48.3
01119,2023,49.1,18.8,21.9,20.0,
01129,2022,,,,,44.4
01129,2023,40.8,17.9,25.5,19.6,
02050,2022,,,,,41.8
02050,2023,39.7,31.2,20.3,20.9,
02060,2022,,,,,38.0
02060,2023,31.2,16.7,19.8,16.6,
02068,2022,,,,,32.3
02068,2023,29.9,15.2,19.7,15.4,
02070,2022,,,,,37.8
02070,2023,33.9,25.7,20.0,19.3,
02090,2022,,,,,36.8
02090,2023,31.7,14.3,20.1,15.4,
02122,2022,,,,,30.2
02122,2023,30.3,16.2,20.7,16.2,
02150,2022,,,,,38.7
02150,2023,30.2,15.0,17.2,14.7,
02164,2022,,,,,40.4
02164,2023,35.0,24.2,20.5,19.2,
02170,2022,,,,,34.2
02170,2023,30.4,17.0,22.1,16.6,
02180,2022,,,,,44.0
02180,2023,35.5,28.7,20.1,20.0,
02185,2022,,,,,39.0
02185,2023,35.3,19.9,17.7,16.3,
02188,2022,,,,,42.7
02188,2023,38.1,28.6,20.3,20.3,
02240,2022,,,,,35.9
02240,2023,32.8,18.0,19.7,16.7,
02290,2022,,,,,40.7
02290,2023,37.1,27.5,20.6,20.0,
04001,2022,,,,,42.7
04001,2023,32.7,23.1,21.0,22.3,
04003,2022,,,,,35.2
04003,2023,31.9,13.4,21.2,17.1,
04005,2022,,,,,32.9
04005,2023,28.4,12.9,22.2,18.0,
04007,2022,,,,,36.8
04007,2023,29.2,16.7,22.9,19.0,
04009,2022,,,,,37.6
04009,2023,31.3,15.5,20.4,17.7,
04011,2022,,,,,37.7
04011,2023,28.7,11.6,19.3,16.1,
04013,2022,,,,,34.9
04013,2023,28.6,11.0,18.9,15.3,
04015,2022,,,,,41.7
04015,2023,31.0,17.1,21.5,18.1,
04017,2022,,,,,37.8
04017,2023,35.3,19.5,23.3,20.5,
04019,2022,,,,,38.8
04019,2023,30.1,11.3,23.6,17.3,
04021,2022,,,,,41.1
04021,2023,31.6,12.7,20.6,17.4,
04023,2022,,,,,36.4
04023,2023,31.3,12.0,16.6,15.8,
04025,2022,,,,,34.2
04025,2023,27.0,12.9,21.6,16.8,
04027,2022,,,,,35.9
04027,2023,31.6,13.7,18.6,16.2,
05007,2022,,,,,34.0
05007,2023,31.7,11.6,23.8,16.7,
05033,2022,,,,,37.9
05033,2023,37.4,17.1,27.1,20.3,
05061,2022,,,,,41.8
05061,2023,39.0,17.6,25.5,20.5,
05065,2022,,,,,38.0
05065,2023,39.5,20.5,27.5,21.2,
05071,2022,,,,,41.9
05071,2023,38.2,18.7,26.2,20.6,
05079,2022,,,,,43.0
05079,2023,42.9,20.2,21.9,19.5,
05081,2022,,,,,40.4
05081,2023,39.7,18.4,26.0,20.7,
05089,2022,,,,,39.0
05089,2023,35.1,18.8,27.7,21.2,
05113,2022,,,,,39.3
05113,2023,37.2,19.4,26.8,21.1,
05119,2022,,,,,39.2
05119,2023,39.5,13.6,23.6,18.3,
05121,2022,,,,,38.1
05121,2023,38.4,20.5,28.1,21.9,
05127,2022,,,,,38.8
05127,2023,37.6,19.1,26.7,20.8,
05129,2022,,,,,42.0
05129,2023,39.4,21.7,28.5,22.1,
05131,2022,,,,,38.5
05131,2023,37.3,16.5,25.5,19.9,
05137,2022,,,,,42.0
05137,2023,37.7,20.9,28.0,21.5,
05143,2022,,,,,35.3
05143,2023,36.4,14.2,24.2,18.3,
06001,2022,,,,,35.1
06001,2023,26.5,9.2,18.9,15.5,
06003,2022,,,,,35.1
06003,2023,27.9,11.6,23.5,17.9,
06005,2022,,,,,34.4
06005,2023,29.3,12.4,23.2,18.4,
06007,2022,,,,,33.7
06007,2023,30.5,13.9,26.0,19.6,
06009,2022,,,,,35.1
06009,2023,28.2,13.9,25.6,19.7,
06011,2022,,,,,34.8
06011,2023,29.6,13.5,21.9,18.8,
06013,2022,,,,,35.8
06013,2023,27.5,9.3,19.7,16.2,
06015,2022,,,,,39.1
06015,2023,30.8,15.1,24.3,19.8,
06017,2022,,,,,33.8
06017,2023,26.5,10.6,23.9,17.5,
06019,2022,,,,,36.2
06019,2023,31.4,13.4,21.3,18.4,
06021,2022,,,,,37.3
06021,2023,29.5,14.2,23.2,19.3,
06023,2022,,,,,36.4
06023,2023,29.9,15.0,26.8,20.7,
06027,2022,,,,,33.6
06027,2023,27.8,12.4,23.8,18.5,
06029,2022,,,,,38.7
06029,2023,32.2,14.7,22.6,19.9,
06031,2022,,,,,36.1
06031,2023,32.0,15.0,20.7,19.0,
06033,2022,,,,,35.4
06033,2023,32.0,15.6,25.6,20.4,
06035,2022,,,,,39.8
