l,estimate,se,conf_low,conf_high,pvalue,estimator,outcome
-8,0.13028695164844856,0.17746169325761638,-0.21753796713647955,0.47811187043337666,0.46284547737228215,CS2021,overdose
-7,0.20326272241490992,0.1383708843576926,-0.06794421092616756,0.47446965575598743,0.14184083935922295,CS2021,overdose
-6,0.13471160151182618,0.11982728600201792,-0.10014987905212894,0.3695730820757813,0.2609219365911105,CS2021,overdose
-5,0.08562733075722552,0.10289892243154117,-0.11605455720859516,0.2873092187230462,0.4053243236588356,CS2021,overdose
-4,0.047639605498118166,0.0821574142117068,-0.11338892635682718,0.2086681373530635,0.56201061390796,CS2021,overdose
-3,0.09530544270977429,0.06945476688065476,-0.04082590037630904,0.2314367857958576,0.17000292583231097,CS2021,overdose
-2,0.06535866604453708,0.04636688196367475,-0.02552042260426543,0.1562377546933396,0.1586584054047809,CS2021,overdose
-1,0,NA,NA,NA,NA,CS2021,overdose
0,-0.029051429044939882,0.05469652345833531,-0.1362566150232771,0.07815375693339732,0.5953228114766025,CS2021,overdose
1,-0.06599717921045868,0.0628895183091947,-0.18926063509648028,0.05726627667556293,0.29398733775223246,CS2021,overdose
2,-0.10651486479536765,0.07419999214781454,-0.25194684940508416,0.038917119814348866,0.1511416900545692,CS2021,overdose
3,-0.17259343080610676,0.08365871916937381,-0.33656452037807943,-0.008622341234134079,0.03910639011634548,CS2021,overdose
4,0.1068830804847375,0.10225530067975763,-0.09353730884758744,0.30730346981706247,0.2959041528720705,CS2021,overdose
