l,estimate,se,conf_low,conf_high,pvalue,estimator,outcome
-8,0.5194109545267763,0.5992817113701367,-0.6551811997586917,1.6940031088122445,0.3860940638199332,CS2021,suicide
-7,-0.2654015698952079,0.2985052627651294,-0.8504718849148615,0.31966874512444565,0.37394836540624504,CS2021,suicide
-6,-0.14943824586357832,0.1821340109748459,-0.5064209073742763,0.20754441564711965,0.4119396084649725,CS2021,suicide
-5,-0.12328074422938047,0.13197148042225224,-0.38194484585699484,0.13538335739823393,0.3502281420225178,CS2021,suicide
-4,-0.04589639493705959,0.11656318601848356,-0.27436023953328736,0.1825674496591682,0.6937679001460793,CS2021,suicide
-3,-0.039784645109440034,0.11010731065329454,-0.25559497398989733,0.1760256837710173,0.71785568502912,CS2021,suicide
-2,-0.0874443589066138,0.10929382087231525,-0.3016602478163517,0.12677153000312408,0.4236614864274543,CS2021,suicide
-1,0,NA,NA,NA,NA,CS2021,suicide
0,-0.14060875823763072,0.0920353044251983,-0.3209979549110194,0.03978043843575796,0.12656970398172063,CS2021,suicide
1,0.12062847492003573,0.14326318434556343,-0.16016736639726856,0.40142431623734,0.3997845398127485,CS2021,suicide
2,-0.05695232455882093,0.15622151803129636,-0.3631464999001618,0.24924185078251992,0.7154388843204205,CS2021,suicide
3,-0.10065664045073733,0.1809014700767453,-0.4552235218011581,0.2539102408996835,0.5779258685290001,CS2021,suicide
4,-0.1433401304423627,0.2642360284724065,-0.6612427462482795,0.3745624853635541,0.5874947372500021,CS2021,suicide
