treated_GEOID,treated_NAME,treated_STATE,treated_WHP_rank,treated_RUCC,treated_BldDE,treated_pre_fire,treated_pop_2014,treated_income_2014,treated_WHP_quintile,treated_first_fire_yr,treated_total_acres,control_GEOID,control_NAME,control_STATE,control_WHP_rank,control_RUCC,control_BldDE,control_pre_fire,control_pop_2014,control_income_2014,match_rank,mahalanobis_dist
36111,Ulster,36,0.317,3,0.777,1,181598,58592,2,2016,1927.0,42019,Butler,42,0.233,1,0.632,0,185034,59365,1,0.0439
36111,Ulster,36,0.317,3,0.777,1,181598,58592,2,2016,1927.0,19113,Linn,19,0.243,2,0.225,0,214927,59560,2,0.1108
27001,Aitkin,27,0.373,8,0.896,1,15964,42036,2,2015,2742.0,39067,Harrison,39,0.291,6,0.82,0,15698,41819,1,0.0123
27001,Aitkin,27,0.373,8,0.896,1,15964,42036,2,2015,2742.0,17181,Union,17,0.327,6,0.74,0,17620,41849,2,0.0127
53031,Jefferson,53,0.208,6,0.552,1,29978,47202,2,2015,5493.0,55123,Vernon,55,0.203,6,0.654,0,30124,47075,1,0.0074
53031,Jefferson,53,0.208,6,0.552,1,29978,47202,2,2015,5493.0,42067,Juniata,42,0.37,6,0.757,0,24793,47269,2,0.0174
53009,Clallam,53,0.233,5,0.452,1,72024,47008,2,2015,8634062.0,38035,Grand Forks,38,0.295,3,0.306,0,68144,47050,1,0.0129
53009,Clallam,53,0.233,5,0.452,1,72024,47008,2,2015,8634062.0,42037,Columbia,42,0.375,3,0.601,0,67089,46367,2,0.0375
53073,Whatcom,53,0.377,3,0.428,1,204855,53025,2,2015,406078.0,10005,Sussex,10,0.401,2,0.42,1,203737,53505,1,0.0283
53073,Whatcom,53,0.377,3,0.428,1,204855,53025,2,2015,406078.0,37025,Cabarrus,37,0.382,1,0.523,0,184855,53935,2,0.0882
36105,Sullivan,36,0.321,4,0.873,0,76892,49388,2,2015,2748.0,41003,Benton,41,0.279,3,0.376,0,86034,49338,1,0.0295
36105,Sullivan,36,0.321,4,0.873,0,76892,49388,2,2015,2748.0,01083,Limestone,01,0.242,2,0.65,0,87167,49461,2,0.032
20055,Finney,20,0.353,5,0.259,0,37099,47994,2,2017,3106.0,31053,Dodge,31,0.381,4,0.208,0,36742,47991,1,0.0011
20055,Finney,20,0.353,5,0.259,0,37099,47994,2,2017,3106.0,31119,Madison,31,0.4,5,0.287,0,35103,47622,2,0.0212
53045,Mason,53,0.223,4,0.659,1,60728,49538,2,2018,3543.0,37077,Granville,37,0.286,4,0.875,0,57955,49655,1,0.0119
53045,Mason,53,0.223,4,0.659,1,60728,49538,2,2018,3543.0,31079,Hall,31,0.309,3,0.14,0,60223,49178,2,0.0204
20075,Hamilton,20,0.539,9,0.516,1,2632,44274,3,2016,1101.0,08121,Washington,08,0.511,9,0.692,1,4781,44271,1,0.0068
20075,Hamilton,20,0.539,9,0.516,1,2632,44274,3,2016,1101.0,51091,Highland,51,0.578,8,0.973,0,2258,44132,2,0.008
51009,Amherst,51,0.555,2,0.866,1,32237,44765,3,2016,11000.0,20051,Ellis,20,0.461,5,0.296,1,28878,45127,1,0.0248
51009,Amherst,51,0.555,2,0.866,1,32237,44765,3,2016,11000.0,26043,Dickinson,26,0.455,7,0.49,0,26097,44350,2,0.0282
04027,Yuma,04,0.409,3,0.225,1,201453,41380,3,2019,1175.0,37071,Gaston,37,0.447,1,0.622,0,208379,42158,1,0.0464
04027,Yuma,04,0.409,3,0.225,1,201453,41380,3,2019,1175.0,45007,Anderson,45,0.531,2,0.738,0,189763,41822,2,0.048
30073,Pondera,30,0.515,7,0.55,0,6211,40969,3,2015,59730.0,20013,Brown,20,0.505,6,0.425,0,9926,41126,1,0.0136
30073,Pondera,30,0.515,7,0.55,0,6211,40969,3,2015,59730.0,31147,Richardson,31,0.571,7,0.394,0,8237,40765,2,0.0142
56003,Big Horn,56,0.504,9,0.414,1,11827,52432,3,2018,2010.0,29151,Osage,29,0.493,3,0.901,1,13812,52479,1,0.0064
56003,Big Horn,56,0.504,9,0.414,1,11827,52432,3,2018,2010.0,19071,Fremont,19,0.432,8,0.432,0,7200,52221,2,0.0174
56017,Hot Springs,56,0.584,7,0.477,1,4826,45385,3,2016,3999.0,13007,Baker,13,0.53,3,0.82,0,3342,45526,1,0.01
56017,Hot Springs,56,0.584,7,0.477,1,4826,45385,3,2016,3999.0,20065,Graham,20,0.454,9,0.548,1,2602,45192,2,0.0121
06075,San Francisco,06,0.513,1,0.004,1,829072,78378,3,2015,26517.0,48085,Collin,48,0.575,1,0.17,0,836947,84233,1,0.3325
06075,San Francisco,06,0.513,1,0.004,1,829072,78378,3,2015,26517.0,13067,Cobb,13,0.517,1,0.523,0,708920,64657,2,0.8162
41047,Marion,41,0.451,2,0.254,1,320448,47360,3,2017,14054.0,42079,Luzerne,42,0.448,2,0.371,1,320392,45118,1,0.1285
41047,Marion,41,0.451,2,0.254,1,320448,47360,3,2017,14054.0,45083,Spartanburg,45,0.512,2,0.688,0,288728,43555,2,0.2248
32023,Nye,32,0.533,4,0.264,1,42938,41757,3,2017,14832.0,29161,Phelps,29,0.601,5,0.715,1,45091,41942,1,0.0116
32023,Nye,32,0.533,4,0.264,1,42938,41757,3,2017,14832.0,48481,Wharton,48,0.546,4,0.602,0,41219,41992,2,0.0153
20023,Cheyenne,20,0.544,9,0.579,1,2695,39681,3,2019,4277.0,27087,Mahnomen,27,0.586,8,0.688,1,5486,39924,1,0.0152
20023,Cheyenne,20,0.544,9,0.579,1,2695,39681,3,2019,4277.0,29199,Scotland,29,0.527,9,0.649,0,4862,39450,2,0.0159
37189,Watauga,37,0.589,5,0.896,0,51903,35491,3,2016,1478.0,13275,Thomas,13,0.561,4,0.755,0,44733,35515,1,0.0229
37189,Watauga,37,0.589,5,0.896,0,51903,35491,3,2016,1478.0,22119,Webster,22,0.405,2,0.626,0,40890,35292,2,0.0348
56037,Sweetwater,56,0.488,5,0.226,1,44595,69448,3,2015,17079.0,31177,Washington,31,0.489,2,0.511,0,20264,68207,1,0.0959
56037,Sweetwater,56,0.488,5,0.226,1,44595,69448,3,2015,17079.0,51069,Frederick,51,0.473,3,0.669,0,80377,68719,2,0.1267
20167,Russell,20,0.543,7,0.432,1,6959,40369,3,2017,4052.0,29137,Monroe,29,0.434,9,0.7,0,8725,40342,1,0.006
