treated_GEOID,treated_NAME,treated_STATE,treated_first_fire_yr,treated_total_acres,treated_WHP_rank,treated_RUCC,treated_BldDE,treated_pre_fire,treated_pop_2014,treated_income_2014,control_GEOID,control_NAME,control_STATE,control_WHP_rank,control_RUCC,control_BldDE,control_pre_fire,control_pop_2014,control_income_2014,mahalanobis_dist
36111,Ulster,36,2016,1927.0,0.317,3,0.777,1,181598,58592,42019,Butler,42,0.233,1,0.632,0,185034,59365,0.0439
27001,Aitkin,27,2015,2742.0,0.373,8,0.896,1,15964,42036,39067,Harrison,39,0.291,6,0.82,0,15698,41819,0.0123
53031,Jefferson,53,2015,5493.0,0.208,6,0.552,1,29978,47202,55123,Vernon,55,0.203,6,0.654,0,30124,47075,0.0074
53009,Clallam,53,2015,8634062.0,0.233,5,0.452,1,72024,47008,38035,Grand Forks,38,0.295,3,0.306,0,68144,47050,0.0129
53073,Whatcom,53,2015,406078.0,0.377,3,0.428,1,204855,53025,10005,Sussex,10,0.401,2,0.42,1,203737,53505,0.0283
36105,Sullivan,36,2015,2748.0,0.321,4,0.873,0,76892,49388,41003,Benton,41,0.279,3,0.376,0,86034,49338,0.0295
20055,Finney,20,2017,3106.0,0.353,5,0.259,0,37099,47994,31053,Dodge,31,0.381,4,0.208,0,36742,47991,0.0011
53045,Mason,53,2018,3543.0,0.223,4,0.659,1,60728,49538,37077,Granville,37,0.286,4,0.875,0,57955,49655,0.0119
20075,Hamilton,20,2016,1101.0,0.539,9,0.516,1,2632,44274,08121,Washington,08,0.511,9,0.692,1,4781,44271,0.0068
51009,Amherst,51,2016,11000.0,0.555,2,0.866,1,32237,44765,20051,Ellis,20,0.461,5,0.296,1,28878,45127,0.0248
04027,Yuma,04,2019,1175.0,0.409,3,0.225,1,201453,41380,37071,Gaston,37,0.447,1,0.622,0,208379,42158,0.0464
30073,Pondera,30,2015,59730.0,0.515,7,0.55,0,6211,40969,20013,Brown,20,0.505,6,0.425,0,9926,41126,0.0136
56003,Big Horn,56,2018,2010.0,0.504,9,0.414,1,11827,52432,29151,Osage,29,0.493,3,0.901,1,13812,52479,0.0064
56017,Hot Springs,56,2016,3999.0,0.584,7,0.477,1,4826,45385,13007,Baker,13,0.53,3,0.82,0,3342,45526,0.01
06075,San Francisco,06,2015,26517.0,0.513,1,0.004,1,829072,78378,48085,Collin,48,0.575,1,0.17,0,836947,84233,0.3325
41047,Marion,41,2017,14054.0,0.451,2,0.254,1,320448,47360,42079,Luzerne,42,0.448,2,0.371,1,320392,45118,0.1285
32023,Nye,32,2017,14832.0,0.533,4,0.264,1,42938,41757,29161,Phelps,29,0.601,5,0.715,1,45091,41942,0.0116
20023,Cheyenne,20,2019,4277.0,0.544,9,0.579,1,2695,39681,27087,Mahnomen,27,0.586,8,0.688,1,5486,39924,0.0152
37189,Watauga,37,2016,1478.0,0.589,5,0.896,0,51903,35491,13275,Thomas,13,0.561,4,0.755,0,44733,35515,0.0229
56037,Sweetwater,56,2015,17079.0,0.488,5,0.226,1,44595,69448,31177,Washington,31,0.489,2,0.511,0,20264,68207,0.0959
20167,Russell,20,2017,4052.0,0.543,7,0.432,1,6959,40369,29137,Monroe,29,0.434,9,0.7,0,8725,40342,0.006
35013,Doña Ana,35,2018,4878.0,0.403,3,0.371,1,212942,38426,28049,Hinds,28,0.492,2,0.47,0,246364,38021,0.1117
08073,Lincoln,08,2016,15028.0,0.572,8,0.629,1,5462,43701,20105,Lincoln,20,0.499,9,0.534,1,3180,43487,0.0132
41039,Lane,41,2017,65603.0,0.573,2,0.334,1,354764,43685,42079,Luzerne,42,0.448,2,0.371,1,320392,45118,0.1463
42089,Monroe,42,2016,7887.0,0.431,3,0.858,0,168342,57748,28121,Rankin,28,0.576,2,0.554,0,145483,58811,0.1017
16017,Bonner,16,2015,12890.0,0.597,6,0.781,1,40899,41879,48481,Wharton,48,0.546,4,0.602,0,41219,41992,0.0064
45045,Greenville,45,2016,7871.0,0.523,2,0.529,0,467087,49968,20173,Sedgwick,20,0.463,2,0.136,0,503788,50326,0.1144
13245,Richmond,13,2019,1371.0,0.536,2,0.309,0,201244,37704,28049,Hinds,28,0.492,2,0.47,0,246364,38021,0.1407
51015,Augusta,51,2018,1759.0,0.572,3,0.778,1,73707,54018,13013,Barrow,13,0.448,1,0.704,0,70873,53256,0.0431
49015,Emery,49,2016,20999.0,0.451,7,0.436,1,10834,50653,38021,Dickey,38,0.447,9,0.695,0,5234,50634,0.0175
35031,McKinley,35,2019,7821.0,0.422,5,0.717,0,73082,29812,13095,Dougherty,13,0.561,3,0.445,0,93890,31458,0.1059
22069,Natchitoches,22,2015,2515.0,0.543,6,0.629,1,39359,33629,13261,Sumter,13,0.494,6,0.69,0,31804,33694,0.0247
54071,Pendleton,54,2019,1327.0,0.565,8,0.939,1,7525,36052,26153,Schoolcraft,26,0.418,7,0.732,1,8345,35955,0.0065
01079,Lawrence,01,2015,2285.0,0.448,3,0.883,1,33835,40356,22053,Jefferson Davis,22,0.45,6,0.499,0,31492,40335,0.0073
37023,Burke,37,2016,10580.0,0.559,2,0.853,1,90164,37735,54011,Cabell,54,0.556,2,0.387,0,96826,37716,0.0212
08125,Yuma,08,2018,1866.0,0.515,7,0.574,0,10131,43279,29111,Lewis,29,0.412,9,0.562,0,10176,43000,0.016
51125,Nelson,51,2016,1566.0,0.532,3,0.974,1,14892,50131,20041,Dickinson,20,0.595,7,0.467,0,19641,50123,0.0151
08057,Jackson,08,2016,44198.0,0.461,9,0.786,1,1389,45606,30045,Judith Basin,30,0.523,8,0.752,1,2023,45670,0.0039
