GEOID,year,NAME,STATEFP,treated,match_set,WHP_quintile,cohort_g,event_time,post,surprise_fire,first_fire_yr,BP_NATIONAL_RANK,RUCC2013,BUILDINGS_FRACTION_DE,unemployment_rate,HPSA_mental_health,median_hh_income,poverty_rate,county_pop,share_NH_black,share_hispanic,share_AIAN,suicide_deaths,suicide_rate,suicide_suppressed,overdose_deaths,overdose_rate,overdose_suppressed,pct_depression,pct_poor_mh_days
36111,2011,Ulster,36,1,treated,2,2016,-5.0,0,1,2016.0,0.317,3,0.777,7.9,0.0,58808.0,0.1213466729826443,182448.0,0.053757320343714,0.0850747085545399,0.0018006677248098,24.0,13.154433043935809,0,25.0,13.702534420766463,0,,
36111,2012,Ulster,36,1,treated,2,2016,-4.0,0,1,2016.0,0.317,3,0.777,8.4,0.0,58934.0,0.1285493236800484,181791.0,0.0525159438076661,0.0879046220605316,0.0013478270398211,22.0,12.101809220478462,0,26.0,14.302138169656365,0,,
36111,2013,Ulster,36,1,treated,2,2016,-3.0,0,1,2016.0,0.317,3,0.777,7.3,0.0,58590.0,0.1251438484395664,180998.0,0.0518985534307964,0.0902540557758421,0.000895181397801,17.0,9.39236897645278,0,32.0,17.679753367440526,0,,
36111,2014,Ulster,36,1,treated,2,2016,-2.0,0,1,2016.0,0.317,3,0.777,5.7,0.0,58592.0,0.1228528752800597,180445.0,0.0510413110276544,0.0927378054824392,0.000759920263439,17.0,9.42115325999612,0,23.0,12.746266175288868,0,,
36111,2015,Ulster,36,1,treated,2,2016,-1.0,0,1,2016.0,0.317,3,0.777,4.8,0.0,58918.0,0.1284570743598757,180143.0,0.052757859900717,0.0953778268063982,0.0006122448979591,31.0,17.20855098449565,0,34.0,18.87389462815652,0,,
36111,2016,Ulster,36,1,treated,2,2016,0.0,1,1,2016.0,0.317,3,0.777,4.6,0.0,60393.0,0.1301837513536677,179225.0,0.0524140605523392,0.0962965014819534,0.0005927813633971,21.0,11.717115357790489,0,64.0,35.70930394755196,0,,
36111,2017,Ulster,36,1,treated,2,2016,1.0,1,1,2016.0,0.317,3,0.777,4.6,0.0,61652.0,0.1315989486936997,179417.0,0.0517240422141909,0.0983406336569902,0.0006828439618273,23.0,12.819298059827108,0,57.0,31.76956475696283,0,,
36111,2018,Ulster,36,1,treated,2,2016,2.0,1,1,2016.0,0.317,3,0.777,3.9,0.0,63348.0,0.1390565850642495,178599.0,0.0536187347674049,0.1002548758247212,0.0007250296983318,28.0,15.677579381743458,0,69.0,38.634034905010665,0,,
36111,2019,Ulster,36,1,treated,2,2016,3.0,1,1,2016.0,0.317,3,0.777,3.7,0.0,64304.0,0.1379146919431279,177573.0,0.0551087230291327,0.1020737133741919,0.0009906808832171,24.0,13.515568245172409,0,43.0,24.2153931059339,0,20.1,14.1
27001,2011,Aitkin,27,1,treated,2,2015,-4.0,0,1,2015.0,0.373,8,0.896,9.7,0.0,41301.0,0.1224210787969177,,0.0015334600993682,0.0089554069803103,0.0196896276758878,0.0,,1,0.0,,1,,
27001,2012,Aitkin,27,1,treated,2,2015,-3.0,0,1,2015.0,0.373,8,0.896,8.2,0.0,41191.0,0.1255022601707684,,0.0047012247927749,0.009526166027465,0.015650129902264,0.0,,1,0.0,,1,,
27001,2013,Aitkin,27,1,treated,2,2015,-2.0,0,1,2015.0,0.373,8,0.896,7.5,0.0,41617.0,0.1211775878442545,,0.0039296407185628,0.0102919161676646,0.0178393213572854,0.0,,1,0.0,,1,,
27001,2014,Aitkin,27,1,treated,2,2015,-1.0,0,1,2015.0,0.373,8,0.896,6.8,0.0,42036.0,0.1188660055936943,,0.0041969431220245,0.010586319218241,0.0209847156101227,0.0,,1,0.0,,1,,
27001,2015,Aitkin,27,1,treated,2,2015,0.0,1,1,2015.0,0.373,8,0.896,6.7,0.0,42252.0,0.1242781983831643,,0.0034724414420102,0.011238083212324,0.0181198307973988,0.0,,1,0.0,,1,,
27001,2016,Aitkin,27,1,treated,2,2015,1.0,1,1,2015.0,0.373,8,0.896,7.5,0.0,44524.0,0.1278851748884722,,0.0036890980791247,0.0118305559089174,0.019208752067167,0.0,,1,0.0,,1,,
27001,2017,Aitkin,27,1,treated,2,2015,2.0,1,1,2015.0,0.373,8,0.896,6.6,0.0,45860.0,0.121458787334957,,0.0046714222586957,0.0127517202196831,0.021905182753614,0.0,,1,0.0,,1,,
27001,2018,Aitkin,27,1,treated,2,2015,3.0,1,1,2015.0,0.373,8,0.896,6.1,0.0,45989.0,0.1295845088484226,,0.0053050397877984,0.0135152204117721,0.0213464696223316,0.0,,1,0.0,,1,,
27001,2019,Aitkin,27,1,treated,2,2015,4.0,1,1,2015.0,0.373,8,0.896,6.6,0.0,49351.0,0.1216008209338122,,0.004484021725401,0.0139573070607553,0.0200833649109511,0.0,,1,0.0,,1,22.7,14.4
53031,2011,Jefferson,53,1,treated,2,2015,-4.0,0,1,2015.0,0.208,6,0.552,10.3,0.0,46887.0,0.13227330735005,,0.010064290282406,0.0309333871890672,0.0160894005183614,0.0,,1,0.0,,1,,
53031,2012,Jefferson,53,1,treated,2,2015,-3.0,0,1,2015.0,0.208,6,0.552,10.3,0.0,46870.0,0.1370443044510998,,0.0093617877994765,0.0293940004026575,0.015904972820616,0.0,,1,0.0,,1,,
53031,2013,Jefferson,53,1,treated,2,2015,-2.0,0,1,2015.0,0.208,6,0.552,9.1,0.0,46320.0,0.1329376035339591,,0.0095040492604243,0.0303861856636102,0.0157619971889431,0.0,,1,0.0,,1,,
53031,2014,Jefferson,53,1,treated,2,2015,-1.0,0,1,2015.0,0.208,6,0.552,7.8,0.0,47202.0,0.1263615055838963,,0.0089398892521182,0.0320901994796183,0.0194475949029288,0.0,,1,0.0,,1,,
53031,2015,Jefferson,53,1,treated,2,2015,0.0,1,1,2015.0,0.208,6,0.552,7.2,0.0,49279.0,0.1201081932413462,,0.0078782036366053,0.0340723996941794,0.021606887610943,0.0,,1,0.0,,1,,
53031,2016,Jefferson,53,1,treated,2,2015,1.0,1,1,2015.0,0.208,6,0.552,7.2,0.0,50928.0,0.1202417739142246,,0.0088022945307091,0.0344509280321761,0.0189232848712623,17.0,,0,0.0,,1,,
53031,2017,Jefferson,53,1,treated,2,2015,2.0,1,1,2015.0,0.208,6,0.552,6.3,0.0,51842.0,0.128024533261441,,0.0052090158563753,0.0347922945878652,0.0188376359585899,11.0,,0,0.0,,1,,
53031,2018,Jefferson,53,1,treated,2,2015,3.0,1,1,2015.0,0.208,6,0.552,6.1,0.0,54471.0,0.1332933653077538,,0.0074863883847549,0.0357142857142857,0.019866476536168,11.0,,0,0.0,,1,,
53031,2019,Jefferson,53,1,treated,2,2015,4.0,1,1,2015.0,0.208,6,0.552,6.0,0.0,55127.0,0.1295821836815135,,0.0056896276170688,0.0366629375099888,0.0191145916573437,12.0,,0,0.0,,1,26.3,13.6
53009,2011,Clallam,53,1,treated,2,2015,-4.0,0,1,2015.0,0.233,5,0.452,,,,,71838.0,,,,24.0,33.408502463877056,0,12.0,16.704251231938528,0,,
53009,2012,Clallam,53,1,treated,2,2015,-3.0,0,1,2015.0,0.233,5,0.452,,,,,71863.0,,,,15.0,20.873050109235628,0,20.0,27.83073347898084,0,,
53009,2013,Clallam,53,1,treated,2,2015,-2.0,0,1,2015.0,0.233,5,0.452,,,,,72312.0,,,,14.0,19.360548733266956,0,19.0,26.27503042371944,0,,
53009,2014,Clallam,53,1,treated,2,2015,-1.0,0,1,2015.0,0.233,5,0.452,,,,,72715.0,,,,25.0,34.38080176029705,0,10.0,13.75232070411882,0,,
53009,2015,Clallam,53,1,treated,2,2015,0.0,1,1,2015.0,0.233,5,0.452,,,,,73486.0,,,,23.0,31.298478621778298,0,14.0,19.051247856734616,0,,
53009,2016,Clallam,53,1,treated,2,2015,1.0,1,1,2015.0,0.233,5,0.452,,,,,74570.0,,,,13.0,17.433284162531848,0,24.0,32.18452460775111,0,,
53009,2017,Clallam,53,1,treated,2,2015,2.0,1,1,2015.0,0.233,5,0.452,,,,,75474.0,,,,24.0,31.79903012958105,0,21.0,27.824151363383415,0,,
53009,2018,Clallam,53,1,treated,2,2015,3.0,1,1,2015.0,0.233,5,0.452,,,,,76737.0,,,,31.0,40.39772208973507,0,20.0,26.0630465095065,0,,
53009,2019,Clallam,53,1,treated,2,2015,4.0,1,1,2015.0,0.233,5,0.452,,,,,77331.0,,,,17.0,21.98342191359222,0,17.0,21.98342191359222,0,,
53073,2011,Whatcom,53,1,treated,2,2015,-4.0,0,1,2015.0,0.377,3,0.428,8.8,0.0,51389.0,0.1522553774941624,203663.0,0.0098322584536813,0.07649155260208,0.0248571155692505,29.0,14.239208889194405,0,28.0,13.748201686118737,0,,
53073,2012,Whatcom,53,1,treated,2,2015,-3.0,0,1,2015.0,0.377,3,0.428,8.4,0.0,51639.0,0.1575862507956715,205262.0,0.0088329923933983,0.0786727175229886,0.0253420984687493,20.0,9.743644707739378,0,22.0,10.718009178513316,0,,
53073,2013,Whatcom,53,1,treated,2,2015,-2.0,0,1,2015.0,0.377,3,0.428,7.2,0.0,51939.0,0.1641341837224217,206353.0,0.0089020771513353,0.081560545442914,0.0245163893686857,43.0,20.838078438404093,0,23.0,11.145948932169633,0,,
53073,2014,Whatcom,53,1,treated,2,2015,-1.0,0,1,2015.0,0.377,3,0.428,6.4,0.0,53025.0,0.1624452265639884,208351.0,0.0087622952820287,0.084274242757072,0.0248273168826731,32.0,15.358697582445007,0,17.0,8.15930809067391,0,,
53073,2015,Whatcom,53,1,treated,2,2015,0.0,1,1,2015.0,0.377,3,0.428,6.0,0.0,53145.0,0.1603706661772074,212284.0,0.0082327378078223,0.0870593915982617,0.0260019314340898,33.0,15.545213016525034,0,35.0,16.48734713873867,0,,
53073,2016,Whatcom,53,1,treated,2,2015,1.0,1,1,2015.0,0.377,3,0.428,5.7,0.0,54207.0,0.1599108585982269,216800.0,0.0093358572252764,0.0882901267826576,0.0274354047365886,30.0,13.837638376383763,0,15.0,6.918819188191882,0,,
53073,2017,Whatcom,53,1,treated,2,2015,2.0,1,1,2015.0,0.377,3,0.428,4.9,0.0,56419.0,0.1525771206676153,221404.0,0.0093401272927262,0.0902424578589626,0.0275550207297238,43.0,19.42150999981933,0,26.0,11.743238604541924,0,,
53073,2018,Whatcom,53,1,treated,2,2015,3.0,1,1,2015.0,0.377,3,0.428,4.8,0.0,59285.0,0.1500288326101547,225685.0,0.0095243805693411,0.0921397339630647,0.0270925963507554,45.0,19.939295921306243,0,15.0,6.646431973768749,0,,
53073,2019,Whatcom,53,1,treated,2,2015,4.0,1,1,2015.0,0.377,3,0.428,5.0,0.0,62984.0,0.1411797453086219,229247.0,0.0092880658995294,0.094216582661975,0.0262429750793629,51.0,22.24674695852072,0,23.0,10.032846667568167,0,26.0,14.4
