GEOID,year,pct_depression,pct_poor_mh_days
01003,2019,24.9,16.1
01003,2023,23.9,16.8
01009,2019,25.0,18.3
01009,2023,26.0,18.9
01015,2019,27.2,19.1
01015,2023,25.3,19.3
01019,2019,27.4,19.8
01019,2023,27.1,19.8
01021,2019,26.6,19.0
01021,2023,25.3,19.3
01027,2019,27.4,20.4
01027,2023,26.0,20.0
01029,2019,27.4,19.3
01029,2023,26.9,19.7
01037,2019,24.3,18.9
01037,2023,24.3,19.5
01051,2019,25.3,17.0
01051,2023,23.6,18.4
01079,2019,27.6,20.2
01079,2023,26.1,19.8
01087,2019,22.1,19.0
01087,2023,21.6,19.7
01095,2019,27.6,18.4
01095,2023,26.2,18.8
01097,2019,23.9,17.8
01097,2023,22.7,18.1
01107,2019,25.0,19.1
01107,2023,23.1,19.5
01119,2019,22.0,19.8
01119,2023,21.9,20.0
01129,2019,25.5,20.1
01129,2023,25.5,19.6
02050,2019,20.5,20.9
02050,2023,20.3,20.9
02060,2019,18.6,14.7
02060,2023,19.8,16.6
02068,2019,17.3,13.2
02068,2023,19.7,15.4
02070,2019,19.3,18.1
02070,2023,20.0,19.3
02090,2019,18.7,13.1
02090,2023,20.1,15.4
02122,2019,18.5,14.7
02122,2023,20.7,16.2
02150,2019,15.4,12.4
02150,2023,17.2,14.7
02164,2019,19.8,18.3
02164,2023,20.5,19.2
02170,2019,19.0,13.7
02170,2023,22.1,16.6
02180,2019,19.4,18.6
02180,2023,20.1,20.0
02185,2019,17.4,14.7
02185,2023,17.7,16.3
02188,2019,19.8,19.6
02188,2023,20.3,20.3
02240,2019,17.9,14.3
02240,2023,19.7,16.7
02290,2019,20.3,19.1
02290,2023,20.6,20.0
04001,2019,20.6,22.1
04001,2023,21.0,22.3
04003,2019,18.4,15.1
04003,2023,21.2,17.1
04005,2019,18.9,15.4
04005,2023,22.2,18.0
04007,2019,19.2,16.4
04007,2023,22.9,19.0
04009,2019,17.7,15.4
04009,2023,20.4,17.7
04011,2019,16.6,14.0
04011,2023,19.3,16.1
04013,2019,16.7,14.0
04013,2023,18.9,15.3
04015,2019,20.1,16.6
04015,2023,21.5,18.1
04017,2019,18.8,18.9
04017,2023,23.3,20.5
04019,2019,17.7,14.5
04019,2023,23.6,17.3
04021,2019,18.4,14.7
04021,2023,20.6,17.4
04023,2019,16.1,14.7
04023,2023,16.6,15.8
04025,2019,19.9,14.8
04025,2023,21.6,16.8
04027,2019,16.7,15.2
04027,2023,18.6,16.2
05007,2019,22.0,14.9
05007,2023,23.8,16.7
05033,2019,26.3,19.0
05033,2023,27.1,20.3
05061,2019,24.7,18.8
05061,2023,25.5,20.5
05065,2019,26.2,19.2
05065,2023,27.5,21.2
05071,2019,26.1,20.1
05071,2023,26.2,20.6
05079,2019,23.1,18.6
05079,2023,21.9,19.5
05081,2019,25.2,19.2
05081,2023,26.0,20.7
05089,2019,26.6,19.2
05089,2023,27.7,21.2
05113,2019,26.7,20.2
05113,2023,26.8,21.1
05119,2019,24.4,16.6
05119,2023,23.6,18.3
05121,2019,28.7,20.6
05121,2023,28.1,21.9
05127,2019,26.6,20.4
05127,2023,26.7,20.8
05129,2019,28.0,20.8
05129,2023,28.5,22.1
05131,2019,25.3,17.9
05131,2023,25.5,19.9
05137,2019,28.7,20.9
05137,2023,28.0,21.5
05143,2019,24.1,16.3
05143,2023,24.2,18.3
06001,2019,14.7,11.2
06001,2023,18.9,15.5
06003,2019,19.1,15.0
06003,2023,23.5,17.9
06005,2019,18.3,13.7
06005,2023,23.2,18.4
06007,2019,19.4,15.2
06007,2023,26.0,19.6
06009,2019,20.1,14.5
06009,2023,25.6,19.7
06011,2019,16.7,13.8
06011,2023,21.9,18.8
