event_time,year,estimate,se,pvalue,ci_lo,ci_hi,threshold,label,outcome,stars
-4,2011,0.17065052226959548,0.1701348527325264,0.31856524084546484,-0.16281378908615624,0.5041148336253471,T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,
-3,2012,0.07430385648942359,0.11999443325903061,0.5373483891999999,-0.16088523269827643,0.3094929456771236,T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,
-2,2013,0.48712078046240975,0.4313235967379978,0.26177964409319765,-0.35827346914406594,1.3325150300688855,T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,
0,2015,0.5675008528028915,0.4095096665828323,0.16926896355739354,-0.2351380936994597,1.3701397993052429,T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,
1,2016,0.4275324839912002,0.40928583558181453,0.2990452690647843,-0.37466775374915623,1.2297327217315566,T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,
2,2017,0.4130002845071437,0.41526124589612423,0.3226489308542241,-0.4009117574492597,1.226912326463547,T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,
3,2018,0.3913017962801458,0.41085231432587893,0.3434661721064587,-0.4139687397985769,1.1965723323588684,T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,
4,2019,0.0903567576446736,0.09879117647007479,0.36286052064674523,-0.10327394823667299,0.2839874635260202,T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,
-4,2011,0.12484174155474254,0.1410648730344062,0.378543948302956,-0.15164540959269363,0.4013288927021787,T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,
-3,2012,4.020363979610111e-4,0.13962766924413048,0.9977090614685682,-0.27326819532053476,0.27407226811645674,T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,
-2,2013,0.3785292997225645,0.39849332077011773,0.3447348152614561,-0.4025176089868662,1.1595762084319952,T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,
0,2015,0.3563420645872046,0.40738564532132204,0.38408906286956046,-0.4421338002425866,1.1548179294169958,T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,
1,2016,0.5631218057189356,0.37844152674326426,0.14028502213737096,-0.17862358669786238,1.3048671981357334,T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,
2,2017,0.3457667608675555,0.39947379604288996,0.38906116455039785,-0.43720187937650884,1.1287354011116197,T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,
3,2018,0.32068046215815305,0.39521948687293607,0.41930161687029055,-0.45394973211280165,1.0953106564291077,T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,
4,2019,0.11084117946853043,0.10572856951519895,0.2973132335334758,-0.0963868167812595,0.3180691757183204,T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,
-4,2011,0.42324880514931446,0.35058851841601485,0.23184812561515145,-0.26390469094607466,1.1104023012447035,T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,
-3,2012,-0.1654457448444831,0.260868488644636,0.5282391689432276,-0.6767479825879696,0.3458564928990035,T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,
-2,2013,0.6278134658413748,0.337191835544931,0.06728448066433558,-0.033082531826689965,1.2887094635094396,T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,.
0,2015,0.09486961606175984,0.30662550087146545,0.758039057271539,-0.5061163656463125,0.6958555977698321,T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,
1,2016,0.20596187488383386,0.19652942990638175,0.2986448565372949,-0.17923580773267436,0.5911595575003421,T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,
2,2017,0.44634564904501944,0.22968832839345038,0.056454818478011065,-0.0038434746061433156,0.8965347726961822,T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,.
3,2018,0.34503314675274255,0.255956417543438,0.18248064671537295,-0.15664143163239597,0.8467077251378811,T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,
4,2019,0.3456732655993131,0.1603593866037085,0.03494059823900108,0.03136886785604448,0.6599776633425818,T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,*
-4,2011,0.4716346093738567,0.31550086471741956,0.13993929703817523,-0.14674708547228565,1.090016304219999,T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,
-3,2012,-0.2513283021351472,0.19884667424980076,0.21091181369431403,-0.6410677836647567,0.1384111793944623,T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,
-2,2013,0.6652653920826206,0.3235230657899261,0.043900066802517956,0.031160183134365416,1.2993706010308759,T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,*
0,2015,0.24660820638421468,0.25412676983855526,0.3355511452078419,-0.2514802624993536,0.7446966752677829,T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,
1,2016,0.2570038196038029,0.3411680116333997,0.45407223735160496,-0.4116854831976605,0.9256931224052664,T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,
2,2017,0.41441202142933126,0.3017142728368722,0.17445750507418087,-0.1769479533309382,1.0057719961896008,T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,
3,2018,0.2568039757852971,0.2621144815871856,0.330962059049679,-0.2569404081255866,0.7705483596961809,T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,
4,2019,0.4303192566731749,0.23223890784224485,0.06857918302114975,-0.024869002697624987,0.8855075160439747,T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,.
-4,2011,0.20651995423759978,0.45592597550236985,0.6539425983820938,-0.6870949577470451,1.1001348662222448,T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,
