event_time,year,estimate,se,pvalue,ci_lo,ci_hi,threshold,label,outcome,rucc_group,stars
-4,2011,-0.011870912593739914,0.19525876843294085,0.9518404684035238,-0.394578098722304,0.3708362735348242,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_suicide_rate,metro,
-3,2012,-0.025339536909071855,0.19735193030796452,0.8985113844668522,-0.4121493203126823,0.36147024649453857,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_suicide_rate,metro,
-2,2013,-0.07823159301976397,0.19426175416008065,0.6894165909334864,-0.458984631173522,0.3025214451339941,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_suicide_rate,metro,
0,2015,0.07288647478217598,0.19671161770207127,0.7130491836231396,-0.31266829591388373,0.45844124547823567,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_suicide_rate,metro,
1,2016,-0.11532349665158075,0.08764625859222984,0.19612994788876081,-0.28711016349235124,0.05646317018918974,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_suicide_rate,metro,
2,2017,-0.23391531623485695,0.13921806063857212,0.10112094588299986,-0.5067827150864583,0.03895208261674438,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_suicide_rate,metro,
3,2018,-0.13142917378427113,0.14898057365401327,0.3832206762997997,-0.4234310981461371,0.16057275057759487,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_suicide_rate,metro,
4,2019,0.03800697898051437,0.16009238990558966,0.8136167649641759,-0.27577410523444135,0.35178806319547007,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_suicide_rate,metro,
-4,2011,0.0763551325471734,0.18871112207349186,0.6880299663258657,-0.2935186667168706,0.4462289318112174,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_overdose_rate,metro,
-3,2012,0.1803272939214087,0.21625630928180797,0.4095715896238761,-0.24353507227093493,0.6041896601137523,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_overdose_rate,metro,
-2,2013,0.05226792129725474,0.12222011607730042,0.6713169104276384,-0.18728350621425408,0.29181934880876353,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_overdose_rate,metro,
0,2015,0.14797657301392392,0.19049743045897718,0.4420912406142353,-0.22539839068567136,0.5213515367135192,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_overdose_rate,metro,
1,2016,0.26444366791764046,0.17694612146420105,0.14330688258370933,-0.0823707301521936,0.6112580659874745,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_overdose_rate,metro,
2,2017,-0.07105625701633696,0.16624266804082138,0.6714822783641105,-0.39689188637634687,0.254779372343673,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_overdose_rate,metro,
3,2018,0.053144721328515575,0.11564203046055821,0.6484488610577344,-0.1735136583741785,0.27980310103120964,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_overdose_rate,metro,
4,2019,0.16334400437048013,0.15621094938667623,0.30232289413419,-0.1428294564274053,0.46951746516836557,T1_moderate_1k_metro,"T1 ≥1,000 ac metro",ihs_overdose_rate,metro,
-4,2011,0.35648695575993006,0.27610899860319404,0.20260327198553155,-0.18468668150233025,0.8976605930221904,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_suicide_rate,nonmetro,
-3,2012,0.19428907372637919,0.17960665866982023,0.2845544406661886,-0.15773997726646846,0.5463181247192268,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_suicide_rate,nonmetro,
-2,2013,1.3431662482146447,1.0452086342175313,0.20468894797355844,-0.7054426748517166,3.3917751712810063,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_suicide_rate,nonmetro,
0,2015,1.3466361736980195,1.0099006178822905,0.18843258873979363,-0.6327690373512698,3.3260413847473087,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_suicide_rate,nonmetro,
1,2016,1.2951947820006826,1.0024955823859945,0.20230722406153798,-0.6696965594758666,3.260086123477232,T1_moderate_1k_nonmetro,"T1 ≥1,000 ac nonmetro",ihs_suicide_rate,nonmetro,
