threshold,outcome,att,se,pvalue,ci_lo,ci_hi,stars
T1_moderate_1k,ihs_suicide_rate,-0.21509467012455347,0.13818086348100098,0.11956146416780024,-0.4859291625473154,0.05573982229820845,
T1_moderate_1k,ihs_overdose_rate,-0.20601754303012987,0.13751669904589273,0.13410013789703443,-0.4755502731600796,0.06351518709981985,
T1_moderate_1k_NT,ihs_suicide_rate,-0.14526462450474575,0.2324104860066746,0.5319482667283106,-0.600789177077828,0.31025992806833647,
T1_moderate_1k_NT,ihs_overdose_rate,-0.15945005920491856,0.20577017641942824,0.43840234345924095,-0.5627596049869978,0.24385948657716078,
T2_large_5k,ihs_suicide_rate,-0.06049540071085395,0.14422379199557991,0.6748835846969756,-0.34317403302219057,0.22218323160048264,
T2_large_5k,ihs_overdose_rate,0.01006384502738919,0.15381942100482418,0.94783453568727,-0.2914222201420662,0.3115499101968445,
T2_large_5k_NT,ihs_suicide_rate,-0.021378227102873647,0.1450773110197873,0.8828498643288892,-0.3057297567016567,0.26297330249590944,
T2_large_5k_NT,ihs_overdose_rate,0.039895006974092526,0.157755507914494,0.8003521562890191,-0.2693057885383157,0.3490958024865008,
T3_verylarge_25k,ihs_suicide_rate,0.23863190482325758,0.26126282331465106,0.3610433901343533,-0.2734432288734585,0.7507070385199737,
T3_verylarge_25k,ihs_overdose_rate,0.2976200533168729,0.24218882374635495,0.21911826956826996,-0.1770700412259828,0.7723101478597286,
T3_verylarge_25k_NT,ihs_suicide_rate,0.15769012119557818,0.24540393840764974,0.5205007411204317,-0.3233015980834153,0.6386818404745717,
T3_verylarge_25k_NT,ihs_overdose_rate,0.18334109915465788,0.24302233922776376,0.45059660656989325,-0.2929826857317591,0.6596648840410748,
