event_time,estimate,se,pvalue,ci_lo,ci_hi,threshold,outcome
-4,0.1443981579937242,0.16371989088906527,0.3777860088653694,-0.17649282814884373,0.4652891441362922,T1_moderate_1k,ihs_suicide_rate
-3,0.14950206207416616,0.11741644905857021,0.2029246049562855,-0.08063417808063145,0.3796383022289638,T1_moderate_1k,ihs_suicide_rate
-2,0.2345653591910832,0.1174465484748271,0.04580243242392772,0.004370124180422069,0.4647605942017443,T1_moderate_1k,ihs_suicide_rate
-1,0,NA,NA,NA,NA,T1_moderate_1k,ihs_suicide_rate
0,-0.056056921451694344,0.11181876618290372,0.6161463246585703,-0.2752217031701856,0.16310786026679697,T1_moderate_1k,ihs_suicide_rate
1,-0.07232759144394574,0.14113570060773933,0.608323207002877,-0.34895356463511484,0.20429838174722337,T1_moderate_1k,ihs_suicide_rate
2,-0.2552785789558145,0.17544450250880878,0.1456584878448543,-0.5991498038730797,0.08859264596145067,T1_moderate_1k,ihs_suicide_rate
3,-0.36574741128180677,0.25182381131301323,0.14639206306550379,-0.8593220814553126,0.12782725889169916,T1_moderate_1k,ihs_suicide_rate
4,-0.5975959170740538,0.3135608324817019,0.05667132341007672,-1.2121751487381895,0.016983314590081955,T1_moderate_1k,ihs_suicide_rate
-4,0.16215163882473,0.19268174622811182,0.40003897030981256,-0.2155045837823692,0.5398078614318291,T1_moderate_1k,ihs_overdose_rate
-3,0.1934723680084209,0.1414746689301733,0.17145588868133205,-0.08381798309471875,0.47076271911156053,T1_moderate_1k,ihs_overdose_rate
-2,0.24697601058745616,0.12727377740566423,0.05231776601549152,-0.0024805931276457305,0.49643261430255803,T1_moderate_1k,ihs_overdose_rate
-1,0,NA,NA,NA,NA,T1_moderate_1k,ihs_overdose_rate
0,-0.03215879843620696,0.11472164920403571,0.7792318357986079,-0.25701323087611694,0.19269563400370304,T1_moderate_1k,ihs_overdose_rate
1,-0.027282704870814606,0.14867254225594595,0.8543988935195344,-0.3186808876924687,0.26411547795083945,T1_moderate_1k,ihs_overdose_rate
2,-0.28214589618088143,0.18733290909581815,0.1320362957475909,-0.649318398008685,0.08502660564692216,T1_moderate_1k,ihs_overdose_rate
3,-0.4218830323885021,0.2588719546657481,0.1031654010503385,-0.9292720635333683,0.08550599875636411,T1_moderate_1k,ihs_overdose_rate
4,-0.5243600434745754,0.3979756611817321,0.1876482636832658,-1.3043923393907704,0.2556722524416195,T1_moderate_1k,ihs_overdose_rate
-4,-0.20189401087974568,0.12316485677453526,0.10116793284282657,NA,NA,T1_moderate_1k_TWFE,ihs_suicide_rate
-3,-0.026751272066741934,0.08723527683988161,0.7591047788481442,NA,NA,T1_moderate_1k_TWFE,ihs_suicide_rate
-2,0.06108583338400131,0.0603843814422125,0.3117214791083738,NA,NA,T1_moderate_1k_TWFE,ihs_suicide_rate
0,0.04860563738239892,0.07292294301336609,0.5050696946135766,NA,NA,T1_moderate_1k_TWFE,ihs_suicide_rate
1,0.06068952768452345,0.08391303667382952,0.4695305223689197,NA,NA,T1_moderate_1k_TWFE,ihs_suicide_rate
2,0.05594125017101782,0.1060017118858289,0.5976804170907731,NA,NA,T1_moderate_1k_TWFE,ihs_suicide_rate
3,-0.005874786558921411,0.1043576843794417,0.9551070254775914,NA,NA,T1_moderate_1k_TWFE,ihs_suicide_rate
4,0.026951106611216073,0.1318736361288394,0.8380638292190434,NA,NA,T1_moderate_1k_TWFE,ihs_suicide_rate
-4,-0.1962099142521185,0.13310056486628866,0.14044178196172052,NA,NA,T1_moderate_1k_TWFE,ihs_overdose_rate
-3,0.047573646575349446,0.10945789586364128,0.6638312724074035,NA,NA,T1_moderate_1k_TWFE,ihs_overdose_rate
-2,0.06095137152535918,0.07350441404574838,0.40697961182616493,NA,NA,T1_moderate_1k_TWFE,ihs_overdose_rate
0,0.04251933702440089,0.09222441036165756,0.6447683914103972,NA,NA,T1_moderate_1k_TWFE,ihs_overdose_rate
1,0.060258409923631795,0.08291843376012105,0.4673980477378581,NA,NA,T1_moderate_1k_TWFE,ihs_overdose_rate
2,0.03891318645075306,0.11689878623863356,0.7392253933690645,NA,NA,T1_moderate_1k_TWFE,ihs_overdose_rate
3,-0.0073426585653059585,0.12347798601503018,0.9525814832464277,NA,NA,T1_moderate_1k_TWFE,ihs_overdose_rate
4,0.19513697769049554,0.13374905814532287,0.14457107170739253,NA,NA,T1_moderate_1k_TWFE,ihs_overdose_rate
-4,-0.18083387764441783,0.20636319895010816,0.38087274227383755,-0.5853057475866298,0.22363799229779413,T2_large_5k,ihs_suicide_rate
-3,-0.16035955648473743,0.14513150481032583,0.26919170487974825,-0.444817305912976,0.12409819294350116,T2_large_5k,ihs_suicide_rate
-2,0.06308922846497082,0.12655452743449677,0.6181216660792707,-0.18495764530664283,0.3111361022365845,T2_large_5k,ihs_suicide_rate
-1,0,NA,NA,NA,NA,T2_large_5k,ihs_suicide_rate
0,-0.11181133677182951,0.11715353238781326,0.3398811826757743,-0.3414322602519435,0.11780958670828447,T2_large_5k,ihs_suicide_rate
1,-0.11733727820077881,0.1510196206095034,0.4371781751420724,-0.4133357345954055,0.17866117819384786,T2_large_5k,ihs_suicide_rate
