l,estimate,se,conf_low,conf_high,pvalue,threshold,tag,outcome
-4,-0.04589639493705959,0.10817265602691345,-0.25791480074980994,0.16612201087569078,0.6713555533357523,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
-3,-0.039784645109440034,0.10931965611616812,-0.25405117109712955,0.17448188087824945,0.7159106734807209,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
-2,-0.0874443589066138,0.10908426049459305,-0.3012495094760162,0.12636079166278857,0.42277156360900725,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
-1,0,NA,NA,NA,NA,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
-1,0,0,0,0,1,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
0,-0.14060875823763072,0.09015166428952982,-0.3173060202451092,0.036088503769847735,0.11883287066814509,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
1,0.12062847492003573,0.13752096013626805,-0.14891260694704964,0.39016955678712106,0.380397410877784,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
2,-0.05695232455882093,0.13638212329769026,-0.32426128622229383,0.21035663710465197,0.6762441550550073,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
3,-0.10065664045073733,0.18167324255331851,-0.4567361958552416,0.2554229149537669,0.5795424410663914,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
4,-0.1433401304423627,0.23838466247062795,-0.6105740688847935,0.32389380800006806,0.547641773780313,"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide
-4,0.047639605498118166,0.08446913810298855,-0.1179199051837394,0.21319911617997572,0.5727620955503843,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
-3,0.09530544270977429,0.07098431051648738,-0.04382380590254098,0.23443469132208955,0.17939282494921097,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
-2,0.06535866604453708,0.04818576630205976,-0.02908543590750004,0.1598027679965742,0.17497528166130652,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
-1,0,NA,NA,NA,NA,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
-1,0,0,0,0,1,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
0,-0.029051429044939882,0.048652091639480595,-0.12440952865832183,0.06630667056844208,0.5504232578946494,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
1,-0.06599717921045868,0.06118996426897421,-0.1859295091776481,0.05393515075673076,0.28078296355241633,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
2,-0.10651486479536765,0.07909397818661552,-0.2615390620411341,0.04850933245039879,0.17808092811367976,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
3,-0.17259343080610676,0.08977974295645305,-0.3485617270007547,0.0033748653885412316,0.05455425109398616,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
4,0.1068830804847375,0.11553752712962595,-0.11957047268932934,0.33333663365880434,0.35491698065701194,"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose
-4,-0.06804940812776435,0.1473612651405117,-0.35687748780316725,0.22077867154763858,0.6442346019861258,"Large+ (>=5,000 ac)",T2_large_5k,suicide
-3,-0.043192173556884754,0.15273753352392813,-0.3425577392637839,0.2561733921500144,0.7773401972289254,"Large+ (>=5,000 ac)",T2_large_5k,suicide
-2,0.017391648677604,0.1459759065218701,-0.2687211281052614,0.3035044254604694,0.9051640112961583,"Large+ (>=5,000 ac)",T2_large_5k,suicide
-1,0,NA,NA,NA,NA,"Large+ (>=5,000 ac)",T2_large_5k,suicide
-1,0,0,0,0,1,"Large+ (>=5,000 ac)",T2_large_5k,suicide
0,-0.009593479980278732,0.12889382327418408,-0.2622253735976795,0.24303841363712206,0.9406687772791733,"Large+ (>=5,000 ac)",T2_large_5k,suicide
1,-0.018367805456936306,0.17919067074160008,-0.36958152011047246,0.3328459091965999,0.9183564389635465,"Large+ (>=5,000 ac)",T2_large_5k,suicide
2,-0.22373592172143897,0.15824009408822207,-0.5338865061343543,0.0864146626914763,0.15739079702521377,"Large+ (>=5,000 ac)",T2_large_5k,suicide
3,-0.2175905255626027,0.18836929328983743,-0.586794340410684,0.15161328928547865,0.24803827323518252,"Large+ (>=5,000 ac)",T2_large_5k,suicide
4,-0.4450505018729529,0.31041854435919897,-1.0534708488169828,0.163369845071077,0.15165473321927517,"Large+ (>=5,000 ac)",T2_large_5k,suicide
-4,0.16303057061489915,0.08156348067832651,0.003166148485379189,0.32289499274441913,0.045628026546933355,"Large+ (>=5,000 ac)",T2_large_5k,overdose
-3,0.21340535376714512,0.06746570774439371,0.08117256658813343,0.3456381409461568,0.0015606235489918389,"Large+ (>=5,000 ac)",T2_large_5k,overdose
-2,0.13330232523065558,0.06373811401982049,0.008375621751807422,0.2582290287095037,0.03649161292868691,"Large+ (>=5,000 ac)",T2_large_5k,overdose
-1,0,NA,NA,NA,NA,"Large+ (>=5,000 ac)",T2_large_5k,overdose
-1,0,0,0,0,1,"Large+ (>=5,000 ac)",T2_large_5k,overdose
0,-0.05666922247501619,0.05864388533952256,-0.1716112377404804,0.05827279279044802,0.3338801302398304,"Large+ (>=5,000 ac)",T2_large_5k,overdose
1,-0.06373112759859664,0.06068210849650177,-0.1826680602517401,0.05520580505454682,0.2936051323103647,"Large+ (>=5,000 ac)",T2_large_5k,overdose
2,-0.19239659555467506,0.07745828299713758,-0.34421483022906474,-0.04057836088028541,0.012996187596768526,"Large+ (>=5,000 ac)",T2_large_5k,overdose
3,-0.18273760601244343,0.10603703508467305,-0.3905701947784026,0.025094982753515738,0.08482749805118385,"Large+ (>=5,000 ac)",T2_large_5k,overdose
4,0.13287961740174387,0.13610965426321328,-0.13389530495415414,0.39965453975764187,0.3289312457667528,"Large+ (>=5,000 ac)",T2_large_5k,overdose
-4,0.4202526455382457,0.17657130950828442,0.07417287890200824,0.7663324121744832,0.01730919823581868,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
-3,0.2578086771429319,0.19184663954768585,-0.11821073637053237,0.6338280906563961,0.17900436490771438,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
-2,0.29649598523883713,0.1925479608699556,-0.08089801806627583,0.6738899885439501,0.12359564493448724,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
-1,0,NA,NA,NA,NA,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
-1,0,0,0,0,1,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
0,0.18948633335307444,0.160243124683741,-0.1245901910270579,0.5035628577332067,0.23701024010752045,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
1,-0.00781796914247332,0.1817781951850959,-0.36410323170526127,0.34846729342031457,0.9656949263461996,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
2,-0.203497356207494,0.2312530227152336,-0.6567532807293519,0.24975856831436385,0.37887173419475034,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
3,0.1253074154430945,0.17043041008692256,-0.20873618832727367,0.45935101921346266,0.46219276790937397,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
4,-0.00700446376434689,0.26494134582445233,-0.5262895015802735,0.5122805740515797,0.978908152309588,"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide
-4,0.21999187151732802,0.09603327028238062,0.031766661763862,0.40821708127079404,0.021975672985198882,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
-3,0.25172538608295764,0.10015937170213127,0.05541301754678035,0.4480377546191349,0.01196250540665658,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
-2,0.16264275764174255,0.08222300508243263,0.0014856676801745794,0.3237998476033105,0.047920950328642895,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
-1,0,NA,NA,NA,NA,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
-1,0,0,0,0,1,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
0,-0.006671902284991538,0.08087165883292205,-0.16518035359751876,0.15183654902753568,0.934249212420812,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
1,-0.04281252714058746,0.07715069705101049,-0.19402789336056803,0.10840283907939309,0.5789488286533666,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
2,-0.08453298002847666,0.1133263441862929,-0.3066526146336107,0.13758665457665742,0.4557125797218928,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
3,-0.12520883743492894,0.14391844856723518,-0.40728899662670986,0.15687132175685198,0.3843012123251263,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
4,0.2898516182884374,0.26419678477017705,-0.22797407986110962,0.8076773164379845,0.2725954869416524,"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose
