term,l,estimate,se,conf_low,conf_high,pvalue,estimator,outcome
year::-8,-8,-0.014875652979023143,0.130963062418892,-0.27186169700647006,0.24211039104842375,0.9095877075182278,SunAbraham2021,overdose
year::-7,-7,0.033511757479553886,0.09416477205621966,-0.15126578063323348,0.21828929559234128,0.7220004251403984,SunAbraham2021,overdose
year::-6,-6,0.02489252548537904,0.08281601535459292,-0.13761558768029958,0.18740063865105766,0.7637985554976927,SunAbraham2021,overdose
year::-5,-5,-0.05386029420495436,0.06514535479018517,-0.18169364435024807,0.07397305594033934,0.4085590647047913,SunAbraham2021,overdose
year::-4,-4,-0.07861851623796103,0.05561042329907133,-0.18774167223601862,0.030504639760096555,0.15774245735215844,SunAbraham2021,overdose
year::-3,-3,0.00438112245785721,0.048785560636915866,-0.09134975006588728,0.1001119949816017,0.9284607577302468,SunAbraham2021,overdose
year::-2,-2,-0.0020947675956117084,0.04052737303504991,-0.08162077346885019,0.07743123827762677,0.9587875815968376,SunAbraham2021,overdose
ref,-1,0,0,0,0,1,SunAbraham2021,overdose
year::0,0,-0.009532851655793132,0.043809259616027364,-0.09549883406756508,0.07643313075597881,0.8277848193067397,SunAbraham2021,overdose
year::1,1,-0.04232375540209466,0.0475534662111964,-0.13563691512586543,0.0509894043216761,0.37366131020796967,SunAbraham2021,overdose
year::2,2,-0.035867611647412784,0.060194475831782536,-0.15398595685559618,0.08225073356077062,0.5513987206498823,SunAbraham2021,overdose
year::3,3,-0.10397460275997414,0.07192190724966124,-0.24510543829191078,0.037156232771962505,0.14857804570732766,SunAbraham2021,overdose
year::4,4,0.08492045777230951,0.08989748204063171,-0.09148346750973839,0.2613243830543574,0.3450667962511176,SunAbraham2021,overdose
